date_key,date ,year,month,day,week,quarter,day_in_week,month_name,day_name
1,1/1/2019,2019,1,1,1,1,3,January,Tuesday
2,1/2/2019,2019,1,2,1,1,4,January,Tuesday
3,1/3/2019,2019,1,3,1,1,5,January,Tuesday
4,1/4/2019,2019,1,4,1,1,6,January,Tuesday
5,1/5/2019,2019,1,5,1,1,7,January,Tuesday
6,1/6/2019,2019,1,6,2,1,1,January,Tuesday
7,1/7/2019,2019,1,7,2,1,2,January,Tuesday
8,1/8/2019,2019,1,8,2,1,3,January,Tuesday
9,1/9/2019,2019,1,9,2,1,4,January,Tuesday
10,1/10/2019,2019,1,10,2,1,5,January,Tuesday
11,1/11/2019,2019,1,11,2,1,6,January,Tuesday
12,1/12/2019,2019,1,12,2,1,7,January,Tuesday
13,1/13/2019,2019,1,13,3,1,1,January,Tuesday
14,1/14/2019,2019,1,14,3,1,2,January,Tuesday
15,1/15/2019,2019,1,15,3,1,3,January,Tuesday
16,1/16/2019,2019,1,16,3,1,4,January,Tuesday
17,1/17/2019,2019,1,17,3,1,5,January,Tuesday
18,1/18/2019,2019,1,18,3,1,6,January,Tuesday
19,1/19/2019,2019,1,19,3,1,7,January,Tuesday
20,1/20/2019,2019,1,20,4,1,1,January,Tuesday
21,1/21/2019,2019,1,21,4,1,2,January,Tuesday
22,1/22/2019,2019,1,22,4,1,3,January,Tuesday
23,1/23/2019,2019,1,23,4,1,4,January,Tuesday
24,1/24/2019,2019,1,24,4,1,5,January,Tuesday
25,1/25/2019,2019,1,25,4,1,6,January,Tuesday
26,1/26/2019,2019,1,26,4,1,7,January,Tuesday
27,1/27/2019,2019,1,27,5,1,1,January,Tuesday
28,1/28/2019,2019,1,28,5,1,2,January,Tuesday
29,1/29/2019,2019,1,29,5,1,3,January,Tuesday
30,1/30/2019,2019,1,30,5,1,4,January,Tuesday
31,1/31/2019,2019,1,31,5,1,5,January,Tuesday
32,2/1/2019,2019,2,1,5,1,6,February,Tuesday
33,2/2/2019,2019,2,2,5,1,7,February,Tuesday
34,2/3/2019,2019,2,3,6,1,1,February,Tuesday
35,2/4/2019,2019,2,4,6,1,2,February,Tuesday
36,2/5/2019,2019,2,5,6,1,3,February,Tuesday
37,2/6/2019,2019,2,6,6,1,4,February,Tuesday
38,2/7/2019,2019,2,7,6,1,5,February,Tuesday
39,2/8/2019,2019,2,8,6,1,6,February,Tuesday
40,2/9/2019,2019,2,9,6,1,7,February,Tuesday
41,2/10/2019,2019,2,10,7,1,1,February,Tuesday
42,2/11/2019,2019,2,11,7,1,2,February,Tuesday
43,2/12/2019,2019,2,12,7,1,3,February,Tuesday
44,2/13/2019,2019,2,13,7,1,4,February,Tuesday
45,2/14/2019,2019,2,14,7,1,5,February,Tuesday
46,2/15/2019,2019,2,15,7,1,6,February,Tuesday
47,2/16/2019,2019,2,16,7,1,7,February,Tuesday
48,2/17/2019,2019,2,17,8,1,1,February,Tuesday
49,2/18/2019,2019,2,18,8,1,2,February,Tuesday
50,2/19/2019,2019,2,19,8,1,3,February,Tuesday
51,2/20/2019,2019,2,20,8,1,4,February,Tuesday
52,2/21/2019,2019,2,21,8,1,5,February,Tuesday
53,2/22/2019,2019,2,22,8,1,6,February,Tuesday
54,2/23/2019,2019,2,23,8,1,7,February,Tuesday
55,2/24/2019,2019,2,24,9,1,1,February,Tuesday
56,2/25/2019,2019,2,25,9,1,2,February,Tuesday
57,2/26/2019,2019,2,26,9,1,3,February,Tuesday
58,2/27/2019,2019,2,27,9,1,4,February,Tuesday
59,2/28/2019,2019,2,28,9,1,5,February,Tuesday
60,3/1/2019,2019,3,1,9,1,6,March,Tuesday
61,3/2/2019,2019,3,2,9,1,7,March,Tuesday
62,3/3/2019,2019,3,3,10,1,1,March,Tuesday
63,3/4/2019,2019,3,4,10,1,2,March,Tuesday
64,3/5/2019,2019,3,5,10,1,3,March,Tuesday
65,3/6/2019,2019,3,6,10,1,4,March,Tuesday
66,3/7/2019,2019,3,7,10,1,5,March,Tuesday
67,3/8/2019,2019,3,8,10,1,6,March,Tuesday
68,3/9/2019,2019,3,9,10,1,7,March,Tuesday
69,3/10/2019,2019,3,10,11,1,1,March,Tuesday
70,3/11/2019,2019,3,11,11,1,2,March,Tuesday
71,3/12/2019,2019,3,12,11,1,3,March,Tuesday
72,3/13/2019,2019,3,13,11,1,4,March,Tuesday
73,3/14/2019,2019,3,14,11,1,5,March,Tuesday
74,3/15/2019,2019,3,15,11,1,6,March,Tuesday
75,3/16/2019,2019,3,16,11,1,7,March,Tuesday
76,3/17/2019,2019,3,17,12,1,1,March,Tuesday
77,3/18/2019,2019,3,18,12,1,2,March,Tuesday
78,3/19/2019,2019,3,19,12,1,3,March,Tuesday
79,3/20/2019,2019,3,20,12,1,4,March,Tuesday
80,3/21/2019,2019,3,21,12,1,5,March,Tuesday
81,3/22/2019,2019,3,22,12,1,6,March,Tuesday
82,3/23/2019,2019,3,23,12,1,7,March,Tuesday
83,3/24/2019,2019,3,24,13,1,1,March,Tuesday
84,3/25/2019,2019,3,25,13,1,2,March,Tuesday
85,3/26/2019,2019,3,26,13,1,3,March,Tuesday
86,3/27/2019,2019,3,27,13,1,4,March,Tuesday
87,3/28/2019,2019,3,28,13,1,5,March,Tuesday
88,3/29/2019,2019,3,29,13,1,6,March,Tuesday
89,3/30/2019,2019,3,30,13,1,7,March,Tuesday
90,3/31/2019,2019,3,31,14,1,1,March,Tuesday
91,4/1/2019,2019,4,1,14,2,2,April,Tuesday
92,4/2/2019,2019,4,2,14,2,3,April,Tuesday
93,4/3/2019,2019,4,3,14,2,4,April,Tuesday
94,4/4/2019,2019,4,4,14,2,5,April,Tuesday
95,4/5/2019,2019,4,5,14,2,6,April,Tuesday
96,4/6/2019,2019,4,6,14,2,7,April,Tuesday
97,4/7/2019,2019,4,7,15,2,1,April,Tuesday
98,4/8/2019,2019,4,8,15,2,2,April,Tuesday
99,4/9/2019,2019,4,9,15,2,3,April,Tuesday
100,4/10/2019,2019,4,10,15,2,4,April,Tuesday
101,4/11/2019,2019,4,11,15,2,5,April,Tuesday
102,4/12/2019,2019,4,12,15,2,6,April,Tuesday
103,4/13/2019,2019,4,13,15,2,7,April,Tuesday
104,4/14/2019,2019,4,14,16,2,1,April,Tuesday
105,4/15/2019,2019,4,15,16,2,2,April,Tuesday
106,4/16/2019,2019,4,16,16,2,3,April,Tuesday
107,4/17/2019,2019,4,17,16,2,4,April,Tuesday
108,4/18/2019,2019,4,18,16,2,5,April,Tuesday
109,4/19/2019,2019,4,19,16,2,6,April,Tuesday
110,4/20/2019,2019,4,20,16,2,7,April,Tuesday
111,4/21/2019,2019,4,21,17,2,1,April,Tuesday
112,4/22/2019,2019,4,22,17,2,2,April,Tuesday
113,4/23/2019,2019,4,23,17,2,3,April,Tuesday
114,4/24/2019,2019,4,24,17,2,4,April,Tuesday
115,4/25/2019,2019,4,25,17,2,5,April,Tuesday
116,4/26/2019,2019,4,26,17,2,6,April,Tuesday
117,4/27/2019,2019,4,27,17,2,7,April,Tuesday
118,4/28/2019,2019,4,28,18,2,1,April,Tuesday
119,4/29/2019,2019,4,29,18,2,2,April,Tuesday
120,4/30/2019,2019,4,30,18,2,3,April,Tuesday
121,5/1/2019,2019,5,1,18,2,4,May,Tuesday
122,5/2/2019,2019,5,2,18,2,5,May,Tuesday
123,5/3/2019,2019,5,3,18,2,6,May,Tuesday
124,5/4/2019,2019,5,4,18,2,7,May,Tuesday
125,5/5/2019,2019,5,5,19,2,1,May,Tuesday
126,5/6/2019,2019,5,6,19,2,2,May,Tuesday
127,5/7/2019,2019,5,7,19,2,3,May,Tuesday
128,5/8/2019,2019,5,8,19,2,4,May,Tuesday
129,5/9/2019,2019,5,9,19,2,5,May,Tuesday
130,5/10/2019,2019,5,10,19,2,6,May,Tuesday
131,5/11/2019,2019,5,11,19,2,7,May,Tuesday
132,5/12/2019,2019,5,12,20,2,1,May,Tuesday
133,5/13/2019,2019,5,13,20,2,2,May,Tuesday
134,5/14/2019,2019,5,14,20,2,3,May,Tuesday
135,5/15/2019,2019,5,15,20,2,4,May,Tuesday
136,5/16/2019,2019,5,16,20,2,5,May,Tuesday
137,5/17/2019,2019,5,17,20,2,6,May,Tuesday
138,5/18/2019,2019,5,18,20,2,7,May,Tuesday
139,5/19/2019,2019,5,19,21,2,1,May,Tuesday
140,5/20/2019,2019,5,20,21,2,2,May,Tuesday
141,5/21/2019,2019,5,21,21,2,3,May,Tuesday
142,5/22/2019,2019,5,22,21,2,4,May,Tuesday
143,5/23/2019,2019,5,23,21,2,5,May,Tuesday
144,5/24/2019,2019,5,24,21,2,6,May,Tuesday
145,5/25/2019,2019,5,25,21,2,7,May,Tuesday
146,5/26/2019,2019,5,26,22,2,1,May,Tuesday
147,5/27/2019,2019,5,27,22,2,2,May,Tuesday
148,5/28/2019,2019,5,28,22,2,3,May,Tuesday
149,5/29/2019,2019,5,29,22,2,4,May,Tuesday
150,5/30/2019,2019,5,30,22,2,5,May,Tuesday
151,5/31/2019,2019,5,31,22,2,6,May,Tuesday
152,6/1/2019,2019,6,1,22,2,7,June,Tuesday
153,6/2/2019,2019,6,2,23,2,1,June,Tuesday
154,6/3/2019,2019,6,3,23,2,2,June,Tuesday
155,6/4/2019,2019,6,4,23,2,3,June,Tuesday
156,6/5/2019,2019,6,5,23,2,4,June,Tuesday
157,6/6/2019,2019,6,6,23,2,5,June,Tuesday
158,6/7/2019,2019,6,7,23,2,6,June,Tuesday
159,6/8/2019,2019,6,8,23,2,7,June,Tuesday
160,6/9/2019,2019,6,9,24,2,1,June,Tuesday
